"doytime","data","damm","arrhenius"
116.4375,NA,56.9530493985703,60.8488676194785
116.458333333333,52.37,56.3444005578254,60.3437793493088
116.479166666667,NA,55.4425315949778,59.3453624124839
116.0625,64.53,47.2270219467472,49.5460935739376
116.083333333333,32.76,47.4847363248731,49.8256716516564
116.104166666667,37.165,48.0041145099759,50.3892686193863
116.125,47.45,48.5288001949731,50.9588352834638
116.145833333333,44.985,47.7437651063091,50.10672757772
116.166666666667,47.83,49.7290097487925,52.2624924078594
116.1875,46.72,49.192197634364,51.6792781273206
117,35.265,54.1879584720256,57.9574022654352
117.020833333333,NA,53.2609037877602,56.9324821575519
117.208333333333,NA,55.6667252767682,59.5935055792957
117.229166666667,45.74,61.9672490606016,66.5805018628355
117.25,45.5,60.6561792857178,65.1245100129262
117.270833333333,64.29,59.3710652201309,63.6983798479981
117.291666666667,NA,60.6561792857178,65.1245100129262
117.3125,61.375,62.2991287871132,66.9492335284148
117.333333333333,61.335,61.6370218640108,66.2136727908034
117.354166666667,57.685,61.1937957682579,66.2136727908034
117.375,46.18,61.1937957682579,66.2136727908034
117.395833333333,NA,60.8675762733804,65.8487371798204
117.041666666667,NA,52.8029556796792,56.4264132029406
117.416666666667,29.275,60.5429823011932,65.4856859378042
117.4375,NA,60.0591227700081,64.9446224766839
117.458333333333,NA,59.4195961952497,64.2297156719015
117.479166666667,29.94,58.7864374942686,63.5221847082091
117.0625,31.04,52.179284282236,55.73744683826
117.083333333333,34.91,51.3399146697443,54.8106418667003
117.104166666667,NA,52.3911218002041,55.9714313810403
117.125,26.16,53.8240471667281,57.5550027362791
117.145833333333,30.58,51.3399146697443,54.8106418667003
117.166666666667,26.79,52.2733352523829,55.8413266018843
117.1875,51.96,51.5253430855205,55.0153419754103
118,NA,58.0038543413902,62.6480354434184
118.020833333333,28.84,57.0776067840188,61.6139302620127
118.208333333333,50.14,61.6861893811579,66.7646292990671
118.229166666667,NA,63.6930224809904,69.0116785248098
118.25,50.79,66.6406357308511,72.3164609707757
118.270833333333,62.52,66.6256740296727,72.848109616222
118.291666666667,66.45,68.5383738204282,75.0115187688816
118.3125,NA,68.2965122581624,74.7378404493873
118.333333333333,59.92,67.5757025597525,73.9224042956233
118.354166666667,58.18,68.1156395501294,74.5331955405418
118.375,25.305,69.024499097931,75.561692675792
118.395833333333,23.01,67.9352143818343,74.3290753789182
118.041666666667,15.21,55.8641011708329,60.2599807618578
118.416666666667,22.96,67.0397657769356,73.3163020861805
118.4375,30.84,65.979783053169,72.1180310569797
118.458333333333,23.725,65.4556826545757,71.5257959285813
118.479166666667,47.84,63.5534096332177,69.7762988098665
118.0625,21.79,55.6243119091443,59.9925572204778
118.083333333333,NA,55.8641011708329,60.2599807618578
118.104166666667,20.6,56.1048562310879,60.5285206295805
118.125,NA,55.5645150782252,59.925875254791
118.145833333333,46.64,55.2664310289019,59.5935055792957
118.166666666667,63.625,57.0776067840188,61.6139302620127
118.1875,47.39,56.1651963246042,60.5958305299661
119,25.86,60.6232780685447,66.5805018628355
119.020833333333,32.625,59.0239706143215,64.765200393448
119.208333333333,24.27,57.1568526874085,62.6480354434184
119.229166666667,135.3,59.6589030149395,65.4856859378042
119.25,37.59,61.9317804900029,68.0669360210975
119.270833333333,37.89,60.911365001746,67.6924413732694
119.291666666667,43.73,56.9281063881187,63.8750326512052
